Date,Close
2026-01-02,200.8
2026-01-05,202.57
2026-01-06,204.86
2026-01-07,206.97
2026-01-08,208.3
2026-01-09,208.61
2026-01-12,208.14
2026-01-13,207.5
2026-01-14,207.38
2026-01-15,208.23
2026-01-16,210.05
2026-01-19,212.37
2026-01-20,214.51
2026-01-21,215.84
2026-01-22,216.16
2026-01-23,215.7
2026-01-26,215.1
2026-01-27,215.03
2026-01-28,215.94
2026-01-29,217.81
2026-01-30,220.16
2026-02-02,222.31
2026-02-03,223.66
2026-02-04,223.98
2026-02-05,223.54
2026-02-06,222.97
2026-02-09,222.96
2026-02-10,223.93
2026-02-11,225.84
2026-02-12,228.24
2026-02-13,230.41
2026-02-16,231.76
2026-02-17,232.09
2026-02-18,231.67
2026-02-19,231.14
2026-02-20,231.18
2026-02-23,232.21
2026-02-24,234.18
2026-02-25,236.6
2026-02-26,238.79
2026-02-27,240.15
2026-03-02,240.49
2026-03-03,240.1
2026-03-04,239.61
2026-03-05,239.7
2026-03-06,240.79
2026-03-09,242.81
2026-03-10,245.28
2026-03-11,247.48
2026-03-12,248.86
2026-03-13,249.21
2026-03-16,248.84
2026-03-17,248.39
2026-03-18,248.54
2026-03-19,249.68
2026-03-20,251.76
2026-03-23,254.26
2026-03-24,256.49
2026-03-25,257.88
2026-03-26,258.24
2026-03-27,257.9
2026-03-30,257.49
2026-03-31,257.7
2026-04-01,258.91
2026-04-02,261.04
2026-04-03,263.58
2026-04-06,265.83
2026-04-07,267.23
2026-04-08,267.61
2026-04-09,267.29
2026-04-10,266.93
2026-04-13,267.2
2026-04-14,268.47
2026-04-15,270.65
2026-04-16,273.23
2026-04-17,275.51
2026-04-20,276.92
2026-04-21,277.32
2026-04-22,277.03
2026-04-23,276.72
2026-04-24,277.04
2026-04-27,278.38
2026-04-28,280.62
2026-04-29,283.24
2026-04-30,285.54
